,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 09:35:30.954880,,,,,,,,,
1,Simulation configuration ID,e863dc5a-a20e-48d4-ae62-e566965a0328,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 17 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,8.0,16.0,generation_agent_0,570.0,generation_agent_1,0.0,1.0,536.0,17.0
1,,,8.0,16.0,generation_agent_0,570.0,generation_agent_1,0.0,1.0,34.0,17.0
2,,,9.0,16.0,generation_agent_2,653.0,generation_agent_1,0.0,2.0,536.0,18.0
3,,,9.0,16.0,generation_agent_2,653.0,generation_agent_1,0.0,2.0,117.0,18.0
4,,,101301.0,88.0,generation_agent_1,570.0,generation_agent_0,17.0,1.0,536.0,89.0
5,,,101301.0,88.0,generation_agent_1,570.0,generation_agent_0,17.0,1.0,34.0,89.0
6,,,101501.0,56.0,generation_agent_1,653.0,generation_agent_2,18.0,1.0,536.0,57.0
7,,,101501.0,56.0,generation_agent_1,653.0,generation_agent_2,18.0,1.0,117.0,57.0
