,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 17:01:40.851009,,,,,,,,,
1,Simulation configuration ID,f07866d0-76aa-4dcb-84ab-d3d673580c58,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,70.0,household_agent_2,30.0,household_agent_3,0.0,0.0,30.0,70.0
1,,,1.0,70.0,household_agent_4,37.0,household_agent_3,0.0,0.0,37.0,70.0
2,,,100200.0,79242.0,household_agent_3,30.0,household_agent_2,70.0,0.0,30.0,79242.0
3,,,100400.0,110412.0,household_agent_3,37.0,household_agent_4,70.0,0.0,37.0,110412.0
