,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-18 00:50:37.075616,,,,,,,,,
1,Simulation configuration ID,f1265f55-1e3c-46b2-bdfd-2c09deaeee52,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,30.0,substation_agent_0,114.0,pdc_agent_0,0.0,0.0,114.0,30.0
1,,,1.0,30.0,substation_agent_0,179.0,pdc_agent_1,0.0,1.0,179.0,31.0
2,,,2.0,30.0,substation_agent_0,116.0,pdc_agent_2,0.0,0.0,116.0,30.0
