,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 14:53:36.751186,,,,,,,,,
1,Simulation configuration ID,8db88b19-c420-4f6a-b538-fe1fd62ed3ab,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,16.0,household_agent_5,356.0,household_agent_6,0.0,0.0,356.0,16.0
1,,,1.0,16.0,household_agent_7,258.0,household_agent_6,0.0,1.0,258.0,17.0
2,,,100500.0,177755.0,household_agent_6,356.0,household_agent_5,16.0,0.0,356.0,177755.0
3,,,100700.0,56805.0,household_agent_6,258.0,household_agent_7,17.0,1.0,258.0,56806.0
