,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 20:20:07.189944,,,,,,,,,
1,Simulation configuration ID,ac8c0283-150b-4a7d-ac6f-4b961c09dea6,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,84.0,household_agent_1,173.0,household_agent_0,0.0,0.0,173.0,84.0
1,,,1.0,84.0,generation_agent_3,125.0,household_agent_0,0.0,0.0,125.0,84.0
2,,,100100.0,175.0,household_agent_0,173.0,household_agent_1,84.0,0.0,173.0,175.0
3,,,101600.0,138.0,household_agent_0,125.0,generation_agent_3,84.0,0.0,125.0,138.0
