,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-28 14:52:39.831726,,,,,,,,,
1,Simulation configuration ID,7af54d1d-5e97-4903-9edd-c505c948bcdf,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,90.0,generation_agent_0,388.0,generation_agent_1,0.0,47.0,388.0,137.0
1,,,1.0,90.0,generation_agent_2,476.0,generation_agent_1,0.0,58.0,476.0,148.0
2,,,101300.0,15822.0,generation_agent_1,388.0,generation_agent_0,137.0,47.0,388.0,15869.0
3,,,101500.0,5901.0,generation_agent_1,476.0,generation_agent_2,148.0,47.0,476.0,5948.0
