,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 18:36:51.500951,,,,,,,,,
1,Simulation configuration ID,cf1b5456-0953-483d-b18e-908a37470a2b,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_73,0.0,65.0,household_agent_72,49.0,0.0,53.0,49.0,118.0
1,,,household_agent_73,4.0,1241.0,household_agent_72,40.0,0.0,53.0,40.0,1294.0
2,,,household_agent_71,1.0,94.0,household_agent_72,35.0,0.0,70.0,35.0,164.0
3,,,household_agent_71,5.0,1169.0,household_agent_72,35.0,0.0,65.0,35.0,1234.0
4,,,household_agent_72,2.0,146.0,household_agent_71,26.0,0.0,58.0,26.0,204.0
5,,,household_agent_72,3.0,105.0,household_agent_73,22.0,0.0,53.0,22.0,158.0
6,,,household_agent_72,6.0,1199.0,household_agent_71,12.0,0.0,55.0,12.0,1254.0
7,,,household_agent_72,7.0,1242.0,household_agent_73,11.0,0.0,46.0,11.0,1288.0
8,,,household_agent_71,109500.0,828.0,household_agent_72,26.0,204.0,65.0,26.0,893.0
9,,,household_agent_71,109501.0,1933.0,household_agent_72,12.0,1254.0,77.0,12.0,2010.0
10,,,household_agent_72,109600.0,682.0,household_agent_73,49.0,118.0,51.0,49.0,733.0
11,,,household_agent_72,109601.0,674.0,household_agent_71,35.0,164.0,64.0,35.0,738.0
12,,,household_agent_72,109602.0,1838.0,household_agent_71,35.0,1234.0,59.0,35.0,1897.0
13,,,household_agent_72,109603.0,1772.0,household_agent_73,40.0,1294.0,53.0,40.0,1825.0
14,,,household_agent_73,109700.0,1061.0,household_agent_72,22.0,158.0,53.0,22.0,1114.0
15,,,household_agent_73,109701.0,1933.0,household_agent_72,11.0,1288.0,53.0,11.0,1986.0
