,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-22 02:33:28.406625,,,,,,,,
1,Simulation configuration ID,e72871ca-d524-441e-9a80-cd0d0f85af01,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,61.0,grid_infrastructure_agent_3,1003.0,735.0,True,1336.0,grid_infrastructure_agent_2
0,,,1.0,61.0,grid_infrastructure_agent_2,1002.0,841.0,True,18702.0,grid_infrastructure_agent_3
