,Parameter,Value,sender
0,Start simulation,2025-01-21 13:49:12.238114,
1,Simulation configuration ID,671267f6-f810-43f6-8a64-f7e2a75c2a19,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,
3,Communication graph,Ring Overlay Topology with 324 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
