,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-25 21:21:02.670728,,,,,,,,
1,Simulation configuration ID,b5da2a07-48a7-4fc9-a119-db6d04f17169,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,81.0,household_agent_6,1024.0,595.0,True,33230.0,household_agent_7
1,,,1.0,81.0,household_agent_6,1024.0,525.0,True,106467.0,household_agent_7
2,,,2.0,81.0,household_agent_6,1024.0,427.0,True,176182.0,household_agent_7
3,,,3.0,81.0,household_agent_6,1024.0,852.0,True,246347.0,household_agent_7
4,,,4.0,81.0,household_agent_6,1024.0,747.0,True,295100.0,household_agent_7
