,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 16:50:31.537661,,,,,,,,,
1,Simulation configuration ID,91e5204f-a84a-486f-8267-eeae2dedab27,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_17,0.0,46.0,household_agent_16,258.0,0.0,57.0,258.0,103.0
1,,,household_agent_17,1.0,45.0,household_agent_18,515.0,0.0,47.0,515.0,92.0
2,,,household_agent_17,8.0,1175.0,household_agent_16,822.0,0.0,49.0,536.0,1224.0
3,,,household_agent_17,8.0,1175.0,household_agent_16,822.0,0.0,83.0,286.0,1258.0
4,,,household_agent_17,9.0,1143.0,household_agent_18,249.0,0.0,47.0,249.0,1190.0
5,,,household_agent_20,2.0,82.0,household_agent_21,546.0,0.0,47.0,536.0,129.0
6,,,household_agent_20,2.0,82.0,household_agent_21,546.0,0.0,75.0,10.0,157.0
7,,,household_agent_20,10.0,1138.0,household_agent_21,346.0,0.0,47.0,346.0,1185.0
8,,,household_agent_0,3.0,96.0,household_agent_1,271.0,0.0,47.0,271.0,143.0
9,,,household_agent_0,11.0,1140.0,household_agent_1,587.0,0.0,47.0,536.0,1187.0
10,,,household_agent_0,11.0,1140.0,household_agent_1,587.0,0.0,75.0,51.0,1215.0
11,,,household_agent_1,4.0,11.0,household_agent_0,680.0,0.0,47.0,536.0,58.0
12,,,household_agent_1,4.0,11.0,household_agent_0,680.0,0.0,88.0,144.0,99.0
13,,,household_agent_1,12.0,1183.0,household_agent_0,238.0,0.0,47.0,238.0,1230.0
14,,,household_agent_21,5.0,26.0,household_agent_20,230.0,0.0,47.0,230.0,73.0
15,,,household_agent_21,13.0,1145.0,household_agent_20,650.0,0.0,47.0,536.0,1192.0
16,,,household_agent_21,13.0,1145.0,household_agent_20,650.0,0.0,81.0,114.0,1226.0
17,,,household_agent_16,6.0,42.0,household_agent_17,207.0,0.0,48.0,207.0,90.0
18,,,household_agent_16,14.0,1197.0,household_agent_17,785.0,0.0,52.0,536.0,1249.0
19,,,household_agent_16,14.0,1197.0,household_agent_17,785.0,0.0,86.0,249.0,1283.0
20,,,household_agent_18,7.0,46.0,household_agent_17,387.0,0.0,43.0,387.0,89.0
21,,,household_agent_18,15.0,1118.0,household_agent_17,346.0,0.0,47.0,346.0,1165.0
22,,,household_agent_0,100300.0,309.0,household_agent_1,680.0,58.0,47.0,536.0,356.0
23,,,household_agent_0,100300.0,309.0,household_agent_1,680.0,58.0,87.0,144.0,396.0
24,,,household_agent_0,100301.0,350.0,household_agent_1,680.0,99.0,46.0,536.0,396.0
25,,,household_agent_0,100301.0,350.0,household_agent_1,680.0,99.0,80.0,144.0,430.0
26,,,household_agent_0,100302.0,2186.0,household_agent_1,238.0,1230.0,47.0,238.0,2233.0
27,,,household_agent_1,100400.0,983.0,household_agent_0,271.0,143.0,47.0,271.0,1030.0
28,,,household_agent_1,100401.0,1585.0,household_agent_0,587.0,1187.0,47.0,536.0,1632.0
29,,,household_agent_1,100401.0,1585.0,household_agent_0,587.0,1187.0,75.0,51.0,1660.0
30,,,household_agent_1,100402.0,1613.0,household_agent_0,587.0,1215.0,53.0,536.0,1666.0
31,,,household_agent_1,100402.0,1613.0,household_agent_0,587.0,1215.0,81.0,51.0,1694.0
32,,,household_agent_16,101900.0,610.0,household_agent_17,258.0,103.0,47.0,258.0,657.0
33,,,household_agent_16,101901.0,1820.0,household_agent_17,822.0,1224.0,47.0,536.0,1867.0
34,,,household_agent_16,101901.0,1820.0,household_agent_17,822.0,1224.0,81.0,286.0,1901.0
35,,,household_agent_16,101902.0,1854.0,household_agent_17,822.0,1258.0,47.0,536.0,1901.0
36,,,household_agent_16,101902.0,1854.0,household_agent_17,822.0,1258.0,81.0,286.0,1935.0
37,,,household_agent_17,102000.0,879.0,household_agent_18,387.0,89.0,47.0,387.0,926.0
38,,,household_agent_17,102001.0,1053.0,household_agent_16,207.0,90.0,47.0,207.0,1100.0
