,Parameter,Value,sender,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms
0,Start simulation,2024-12-31 10:30:15.333528,,,,,,,,
1,Simulation configuration ID,345205ba-ad81-4ea3-9e78-3993e3c6a026,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,household_agent_98,0.0,150.0,household_agent_97,1115.0,128.0,True,346.0
1,,,household_agent_98,2.0,1260.0,household_agent_97,1115.0,112.0,True,942.0
0,,,household_agent_97,1.0,129.0,household_agent_98,1116.0,132.0,True,573.0
1,,,household_agent_97,3.0,1188.0,household_agent_98,1116.0,129.0,True,983.0
