,Parameter,Value,sender
0,Start simulation,2025-01-03 13:29:57.608838,
1,Simulation configuration ID,53da741d-f026-472f-aa28-cc7965461ab5,
2,Network,SimbenchNetwork_LTE450_1-LV-semiurb4--1-no_sw,
3,Communication graph,Ring Overlay Topology with 65 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
