,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 18:14:30.349515,,,,,,,,,
1,Simulation configuration ID,33686e78-386a-40e1-b12a-aaf7e857e85d,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_50,0.0,81.0,household_agent_49,19.0,0.0,65.0,19.0,146.0
1,,,household_agent_50,2.0,346.0,household_agent_49,41.0,0.0,98.0,41.0,444.0
2,,,household_agent_49,1.0,130.0,household_agent_50,15.0,0.0,59.0,15.0,189.0
3,,,household_agent_49,3.0,262.0,household_agent_50,13.0,0.0,99.0,13.0,361.0
4,,,household_agent_49,107300.0,233.0,household_agent_50,19.0,146.0,88.0,19.0,321.0
5,,,household_agent_49,107301.0,473.0,household_agent_50,41.0,444.0,65.0,41.0,538.0
6,,,household_agent_50,107400.0,211.0,household_agent_49,15.0,189.0,65.0,15.0,276.0
7,,,household_agent_50,107401.0,368.0,household_agent_49,13.0,361.0,122.0,13.0,490.0
