,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2025-01-11 03:33:04.943242,,,,,,
1,Simulation configuration ID,490cd224-de0c-4a6e-a958-c14307c1bb25,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,900000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,49.0,aggregator_agent,1318.0,92.0,market_agent
0,,,1.0,130.0,storage_agent_76,1294.0,53.0,aggregator_agent
1,,,2.0,130.0,storage_agent_27,1245.0,64.0,aggregator_agent
2,,,3.0,130.0,generation_agent_61,1179.0,173.0,aggregator_agent
3,,,4.0,130.0,household_agent_6,1024.0,118.0,aggregator_agent
4,,,5.0,130.0,household_agent_63,1081.0,119.0,aggregator_agent
5,,,6.0,130.0,household_agent_13,1031.0,137.0,aggregator_agent
6,,,7.0,130.0,generation_agent_28,1146.0,198.0,aggregator_agent
7,,,8.0,130.0,generation_agent_71,1189.0,185.0,aggregator_agent
8,,,9.0,130.0,household_agent_12,1030.0,105.0,aggregator_agent
9,,,10.0,130.0,generation_agent_53,1171.0,60.0,aggregator_agent
10,,,11.0,130.0,storage_agent_68,1286.0,132.0,aggregator_agent
11,,,12.0,130.0,generation_agent_80,1198.0,50.0,aggregator_agent
12,,,13.0,130.0,storage_agent_16,1234.0,84.0,aggregator_agent
13,,,14.0,130.0,household_agent_0,1018.0,88.0,aggregator_agent
14,,,15.0,130.0,generation_agent_21,1139.0,132.0,aggregator_agent
15,,,16.0,216.0,storage_agent_76,1294.0,98.0,aggregator_agent
16,,,17.0,216.0,storage_agent_27,1245.0,169.0,aggregator_agent
17,,,18.0,216.0,generation_agent_61,1179.0,142.0,aggregator_agent
18,,,19.0,216.0,household_agent_6,1024.0,185.0,aggregator_agent
19,,,20.0,216.0,household_agent_63,1081.0,148.0,aggregator_agent
20,,,21.0,216.0,household_agent_13,1031.0,133.0,aggregator_agent
21,,,22.0,216.0,generation_agent_28,1146.0,55.0,aggregator_agent
22,,,23.0,216.0,generation_agent_71,1189.0,198.0,aggregator_agent
23,,,24.0,216.0,household_agent_12,1030.0,191.0,aggregator_agent
24,,,25.0,216.0,generation_agent_53,1171.0,61.0,aggregator_agent
25,,,26.0,216.0,storage_agent_68,1286.0,122.0,aggregator_agent
26,,,27.0,216.0,generation_agent_80,1198.0,192.0,aggregator_agent
27,,,28.0,216.0,storage_agent_16,1234.0,119.0,aggregator_agent
28,,,29.0,216.0,household_agent_0,1018.0,68.0,aggregator_agent
29,,,30.0,216.0,generation_agent_21,1139.0,185.0,aggregator_agent
30,,,31.0,252.0,storage_agent_76,1294.0,77.0,aggregator_agent
31,,,32.0,252.0,storage_agent_27,1245.0,58.0,aggregator_agent
32,,,33.0,252.0,generation_agent_61,1179.0,164.0,aggregator_agent
33,,,34.0,252.0,household_agent_6,1024.0,100.0,aggregator_agent
34,,,35.0,252.0,household_agent_63,1081.0,151.0,aggregator_agent
35,,,36.0,252.0,household_agent_13,1031.0,55.0,aggregator_agent
36,,,37.0,252.0,generation_agent_28,1146.0,91.0,aggregator_agent
37,,,38.0,252.0,generation_agent_71,1189.0,125.0,aggregator_agent
38,,,39.0,252.0,household_agent_12,1030.0,135.0,aggregator_agent
39,,,40.0,252.0,generation_agent_53,1171.0,139.0,aggregator_agent
40,,,41.0,252.0,storage_agent_68,1286.0,67.0,aggregator_agent
41,,,42.0,252.0,generation_agent_80,1198.0,189.0,aggregator_agent
42,,,43.0,252.0,storage_agent_16,1234.0,163.0,aggregator_agent
43,,,44.0,252.0,household_agent_0,1018.0,139.0,aggregator_agent
44,,,45.0,252.0,generation_agent_21,1139.0,112.0,aggregator_agent
45,,,46.0,276.0,storage_agent_76,1294.0,182.0,aggregator_agent
46,,,47.0,276.0,storage_agent_27,1245.0,164.0,aggregator_agent
47,,,48.0,276.0,generation_agent_61,1179.0,134.0,aggregator_agent
48,,,49.0,276.0,household_agent_6,1024.0,189.0,aggregator_agent
49,,,50.0,276.0,household_agent_63,1081.0,74.0,aggregator_agent
50,,,51.0,276.0,household_agent_13,1031.0,120.0,aggregator_agent
51,,,52.0,276.0,generation_agent_28,1146.0,148.0,aggregator_agent
52,,,53.0,276.0,generation_agent_71,1189.0,114.0,aggregator_agent
53,,,54.0,276.0,household_agent_12,1030.0,138.0,aggregator_agent
54,,,55.0,276.0,generation_agent_53,1171.0,154.0,aggregator_agent
55,,,56.0,276.0,storage_agent_68,1286.0,183.0,aggregator_agent
56,,,57.0,276.0,generation_agent_80,1198.0,69.0,aggregator_agent
57,,,58.0,276.0,storage_agent_16,1234.0,195.0,aggregator_agent
58,,,59.0,276.0,household_agent_0,1018.0,75.0,aggregator_agent
59,,,60.0,276.0,generation_agent_21,1139.0,197.0,aggregator_agent
60,,,61.0,355.0,storage_agent_76,1294.0,102.0,aggregator_agent
61,,,62.0,355.0,storage_agent_27,1245.0,185.0,aggregator_agent
62,,,63.0,355.0,generation_agent_61,1179.0,101.0,aggregator_agent
63,,,64.0,355.0,household_agent_6,1024.0,183.0,aggregator_agent
64,,,65.0,355.0,household_agent_63,1081.0,149.0,aggregator_agent
65,,,66.0,355.0,household_agent_13,1031.0,86.0,aggregator_agent
66,,,67.0,355.0,generation_agent_28,1146.0,72.0,aggregator_agent
67,,,68.0,355.0,generation_agent_71,1189.0,76.0,aggregator_agent
68,,,69.0,355.0,household_agent_12,1030.0,99.0,aggregator_agent
69,,,70.0,355.0,generation_agent_53,1171.0,131.0,aggregator_agent
70,,,71.0,355.0,storage_agent_68,1286.0,113.0,aggregator_agent
71,,,72.0,355.0,generation_agent_80,1198.0,143.0,aggregator_agent
72,,,73.0,355.0,storage_agent_16,1234.0,151.0,aggregator_agent
73,,,74.0,355.0,household_agent_0,1018.0,120.0,aggregator_agent
74,,,75.0,355.0,generation_agent_21,1139.0,190.0,aggregator_agent
75,,,76.0,377.0,storage_agent_76,1294.0,159.0,aggregator_agent
76,,,77.0,377.0,storage_agent_27,1245.0,151.0,aggregator_agent
77,,,78.0,377.0,generation_agent_61,1179.0,95.0,aggregator_agent
78,,,79.0,377.0,household_agent_6,1024.0,197.0,aggregator_agent
79,,,80.0,377.0,household_agent_63,1081.0,89.0,aggregator_agent
80,,,81.0,377.0,household_agent_13,1031.0,83.0,aggregator_agent
81,,,82.0,377.0,generation_agent_28,1146.0,89.0,aggregator_agent
82,,,83.0,377.0,generation_agent_71,1189.0,107.0,aggregator_agent
83,,,84.0,377.0,household_agent_12,1030.0,135.0,aggregator_agent
84,,,85.0,377.0,generation_agent_53,1171.0,57.0,aggregator_agent
85,,,86.0,377.0,storage_agent_68,1286.0,62.0,aggregator_agent
86,,,87.0,377.0,generation_agent_80,1198.0,179.0,aggregator_agent
87,,,88.0,377.0,storage_agent_16,1234.0,124.0,aggregator_agent
88,,,89.0,377.0,household_agent_0,1018.0,111.0,aggregator_agent
89,,,90.0,377.0,generation_agent_21,1139.0,185.0,aggregator_agent
90,,,91.0,454.0,market_agent,1320.0,61.0,aggregator_agent
