,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:17:29.066765,,,,,,,,,
1,Simulation configuration ID,5bc07295-c8bb-49e0-a385-a96ed49b584b,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_12,0.0,122.0,household_agent_11,89.0,0.0,47.0,89.0,169.0
1,,,household_agent_11,1.0,93.0,household_agent_10,65.0,0.0,42.0,65.0,135.0
2,,,household_agent_11,2.0,111.0,household_agent_12,196.0,0.0,58.0,196.0,169.0
3,,,household_agent_10,3.0,63.0,household_agent_11,69.0,0.0,47.0,69.0,110.0
