,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:37:25.439892,,,,,,,,,
1,Simulation configuration ID,69d79ed3-546a-443d-844c-a0452cf8f7aa,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 332 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_3,0.0,174.0,household_agent_4,139.0,0.0,0.0,139.0,174.0
1,,,household_agent_5,1.0,95.0,household_agent_4,103.0,0.0,0.0,103.0,95.0
2,,,household_agent_62,2.0,143.0,household_agent_61,166.0,0.0,0.0,166.0,143.0
3,,,household_agent_4,3.0,85.0,household_agent_3,140.0,0.0,0.0,140.0,85.0
4,,,household_agent_4,4.0,168.0,household_agent_5,97.0,0.0,0.0,97.0,168.0
5,,,household_agent_61,5.0,129.0,household_agent_62,140.0,0.0,0.0,140.0,129.0
