,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 12:30:55.526911,,,,,,,,,,,
1,Simulation configuration ID,8b9a121a-54a3-4e1e-be11-2069c6653374,,,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,0.0,household_agent_97,1115.0,38.0,True,55.0,household_agent_98,222.0,30.0,304.0
1,,,1.0,0.0,household_agent_99,1117.0,40.0,True,1.0,household_agent_98,149.0,35.0,156.0
