,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 09:20:57.647604,,,,,,,,,
1,Simulation configuration ID,9081e0bb-6586-4f9f-9e42-97ec8f80ff32,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_84,0.0,141.0,household_agent_83,48.0,0.0,52.0,48.0,193.0
1,,,household_agent_83,1.0,154.0,household_agent_84,29.0,0.0,47.0,29.0,201.0
2,,,household_agent_83,110100.0,10097.0,household_agent_84,48.0,193.0,47.0,48.0,10144.0
3,,,household_agent_84,110200.0,2775.0,household_agent_83,29.0,201.0,47.0,29.0,2822.0
