,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 15:45:47.109201,,,,,,
1,Simulation configuration ID,6bf6b10e-8a49-4c28-abdc-b5d936bddc25,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,54.0,aggregator_agent,1318.0,991.0,control_center_agent
0,,,1.0,160.0,storage_agent_56,1274.0,991.0,aggregator_agent
1,,,5.0,69525.0,control_center_agent,1319.0,991.0,aggregator_agent
0,,,2.0,15094.0,storage_agent_55,1273.0,991.0,storage_agent_56
1,,,3.0,15094.0,storage_agent_57,1275.0,991.0,storage_agent_56
2,,,4.0,39791.0,aggregator_agent,1318.0,991.0,storage_agent_56
