,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-02 00:23:48.793395,,,,,,,,,,,
1,Simulation configuration ID,cb33edd3-0a24-4aa7-bc6b-565ab01a10d6,,,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,0.0,grid_infrastructure_agent_13,1013.0,62.0,True,41034.0,grid_infrastructure_agent_14,85.0,88.0,155.0
1,,,1.0,0.0,grid_infrastructure_agent_15,1015.0,55.0,True,125755.0,grid_infrastructure_agent_14,54.0,120.0,73.0
