,Parameter,Value,sender,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms
0,Start simulation,2025-01-21 16:29:04.335151,,,,,,,,
1,Simulation configuration ID,821f2a67-c7ed-4527-b0d4-e6147c168d6e,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,grid_infrastructure_agent_22,0.0,53.0,grid_infrastructure_agent_21,1021.0,16.0,True,28730.0
0,,,grid_infrastructure_agent_21,1.0,53.0,grid_infrastructure_agent_22,1022.0,42.0,True,12136.0
