,Parameter,Value,sender
0,Start simulation,2025-01-22 04:18:19.348449,
1,Simulation configuration ID,5421bd79-e406-4c1b-8472-4478330084a7,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,
3,Communication graph,Ring Overlay Topology with 326 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
