,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:15:56.786907,,,,,,,,,
1,Simulation configuration ID,a64a9993-7e36-49fb-bd40-33ac81ab3d7b,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_64,0.0,48.0,household_agent_65,804.0,0.0,87.0,536.0,135.0
1,,,household_agent_64,0.0,48.0,household_agent_65,804.0,0.0,136.0,268.0,184.0
2,,,household_agent_44,1.0,126.0,household_agent_45,847.0,0.0,3075.0,536.0,3201.0
3,,,household_agent_44,1.0,126.0,household_agent_45,847.0,0.0,3118.0,311.0,3244.0
4,,,household_agent_45,2.0,63.0,household_agent_44,282.0,0.0,67.0,282.0,130.0
5,,,household_agent_65,3.0,63.0,household_agent_64,304.0,0.0,61.0,304.0,124.0
6,,,household_agent_44,106800.0,11633.0,household_agent_45,282.0,130.0,62.0,282.0,11695.0
7,,,household_agent_64,108800.0,3850.0,household_agent_65,304.0,124.0,70.0,304.0,3920.0
8,,,household_agent_65,108900.0,29049.0,household_agent_64,804.0,135.0,64.0,536.0,29113.0
9,,,household_agent_65,108900.0,29049.0,household_agent_64,804.0,135.0,106.0,268.0,29155.0
10,,,household_agent_65,108901.0,29098.0,household_agent_64,804.0,184.0,63.0,536.0,29161.0
11,,,household_agent_65,108901.0,29098.0,household_agent_64,804.0,184.0,110.0,268.0,29208.0
