,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-15 16:49:22.596405,,,,,,,,
1,Simulation configuration ID,1ca4eaaa-4ad9-426b-a20a-4305532b1451,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,23.0,household_agent_21,1039.0,73.0,True,22215.0,household_agent_49
1,,,1.0,23.0,household_agent_83,1101.0,159.0,True,6647.0,household_agent_49
2,,,2.0,23.0,household_agent_94,1112.0,55.0,True,23196.0,household_agent_49
3,,,3.0,23.0,generation_agent_3,1121.0,114.0,True,17999.0,household_agent_49
4,,,4.0,23.0,generation_agent_25,1143.0,199.0,True,19169.0,household_agent_49
5,,,5.0,23.0,generation_agent_50,1168.0,71.0,True,6256.0,household_agent_49
6,,,6.0,23.0,generation_agent_51,1169.0,107.0,True,1188.0,household_agent_49
7,,,7.0,23.0,generation_agent_54,1172.0,159.0,True,9436.0,household_agent_49
8,,,8.0,23.0,generation_agent_59,1177.0,144.0,True,8230.0,household_agent_49
9,,,9.0,23.0,generation_agent_86,1204.0,166.0,True,28334.0,household_agent_49
10,,,10.0,23.0,storage_agent_37,1255.0,56.0,True,3305.0,household_agent_49
11,,,11.0,23.0,storage_agent_63,1281.0,60.0,True,7730.0,household_agent_49
12,,,12.0,23.0,storage_agent_78,1296.0,178.0,True,5174.0,household_agent_49
13,,,13.0,23.0,storage_agent_81,1299.0,96.0,True,12913.0,household_agent_49
14,,,14.0,23.0,household_agent_21,1039.0,87.0,True,11377.0,household_agent_49
15,,,15.0,23.0,household_agent_83,1101.0,74.0,True,6393.0,household_agent_49
16,,,16.0,23.0,household_agent_94,1112.0,159.0,True,16490.0,household_agent_49
17,,,17.0,23.0,generation_agent_3,1121.0,106.0,True,25226.0,household_agent_49
18,,,18.0,23.0,generation_agent_25,1143.0,163.0,True,24794.0,household_agent_49
19,,,19.0,23.0,generation_agent_50,1168.0,79.0,True,29203.0,household_agent_49
20,,,20.0,23.0,generation_agent_51,1169.0,85.0,True,20692.0,household_agent_49
21,,,21.0,23.0,generation_agent_54,1172.0,128.0,True,15182.0,household_agent_49
22,,,22.0,23.0,generation_agent_59,1177.0,100.0,True,19432.0,household_agent_49
23,,,23.0,23.0,generation_agent_86,1204.0,71.0,True,3412.0,household_agent_49
24,,,24.0,23.0,storage_agent_37,1255.0,178.0,True,26785.0,household_agent_49
25,,,25.0,23.0,storage_agent_63,1281.0,71.0,True,21831.0,household_agent_49
26,,,26.0,23.0,storage_agent_78,1296.0,168.0,True,3800.0,household_agent_49
27,,,27.0,23.0,storage_agent_81,1299.0,184.0,True,21749.0,household_agent_49
28,,,28.0,23.0,household_agent_21,1039.0,138.0,True,8536.0,household_agent_49
29,,,29.0,23.0,household_agent_83,1101.0,187.0,True,1652.0,household_agent_49
30,,,30.0,23.0,household_agent_94,1112.0,166.0,True,4777.0,household_agent_49
31,,,31.0,23.0,generation_agent_3,1121.0,142.0,True,15075.0,household_agent_49
32,,,32.0,23.0,generation_agent_25,1143.0,175.0,True,9903.0,household_agent_49
33,,,33.0,23.0,generation_agent_50,1168.0,80.0,True,25647.0,household_agent_49
34,,,34.0,23.0,generation_agent_51,1169.0,81.0,True,9937.0,household_agent_49
35,,,35.0,23.0,generation_agent_54,1172.0,187.0,True,11891.0,household_agent_49
36,,,36.0,23.0,generation_agent_59,1177.0,178.0,True,8739.0,household_agent_49
37,,,37.0,23.0,generation_agent_86,1204.0,72.0,True,8281.0,household_agent_49
38,,,38.0,23.0,storage_agent_37,1255.0,120.0,True,12455.0,household_agent_49
39,,,39.0,23.0,storage_agent_63,1281.0,75.0,True,12699.0,household_agent_49
40,,,40.0,23.0,storage_agent_78,1296.0,139.0,True,8906.0,household_agent_49
41,,,41.0,23.0,storage_agent_81,1299.0,171.0,True,6660.0,household_agent_49
42,,,42.0,23.0,household_agent_21,1039.0,133.0,True,10318.0,household_agent_49
43,,,43.0,23.0,household_agent_83,1101.0,127.0,True,10017.0,household_agent_49
44,,,44.0,23.0,household_agent_94,1112.0,150.0,True,26534.0,household_agent_49
45,,,45.0,23.0,generation_agent_3,1121.0,154.0,True,23714.0,household_agent_49
46,,,46.0,23.0,generation_agent_25,1143.0,93.0,True,3866.0,household_agent_49
47,,,47.0,23.0,generation_agent_50,1168.0,124.0,True,25918.0,household_agent_49
48,,,48.0,23.0,generation_agent_51,1169.0,108.0,True,8908.0,household_agent_49
49,,,49.0,23.0,generation_agent_54,1172.0,70.0,True,28593.0,household_agent_49
50,,,50.0,23.0,generation_agent_59,1177.0,114.0,True,13546.0,household_agent_49
51,,,51.0,23.0,generation_agent_86,1204.0,166.0,True,19407.0,household_agent_49
52,,,52.0,23.0,storage_agent_37,1255.0,115.0,True,4504.0,household_agent_49
53,,,53.0,23.0,storage_agent_63,1281.0,69.0,True,22579.0,household_agent_49
54,,,54.0,23.0,storage_agent_78,1296.0,85.0,True,29139.0,household_agent_49
55,,,55.0,23.0,storage_agent_81,1299.0,75.0,True,4176.0,household_agent_49
56,,,56.0,23.0,household_agent_21,1039.0,156.0,True,24216.0,household_agent_49
57,,,57.0,23.0,household_agent_83,1101.0,78.0,True,7070.0,household_agent_49
58,,,58.0,23.0,household_agent_94,1112.0,79.0,True,19012.0,household_agent_49
59,,,59.0,23.0,generation_agent_3,1121.0,96.0,True,28294.0,household_agent_49
60,,,60.0,23.0,generation_agent_25,1143.0,200.0,True,7102.0,household_agent_49
61,,,61.0,23.0,generation_agent_50,1168.0,178.0,True,26132.0,household_agent_49
62,,,62.0,23.0,generation_agent_51,1169.0,142.0,True,24561.0,household_agent_49
63,,,63.0,23.0,generation_agent_54,1172.0,176.0,True,23261.0,household_agent_49
64,,,64.0,23.0,generation_agent_59,1177.0,127.0,True,25354.0,household_agent_49
65,,,65.0,23.0,generation_agent_86,1204.0,119.0,True,21530.0,household_agent_49
66,,,66.0,23.0,storage_agent_37,1255.0,144.0,True,28046.0,household_agent_49
67,,,67.0,23.0,storage_agent_63,1281.0,73.0,True,2689.0,household_agent_49
68,,,68.0,23.0,storage_agent_78,1296.0,61.0,True,9248.0,household_agent_49
69,,,69.0,23.0,storage_agent_81,1299.0,193.0,True,21472.0,household_agent_49
