,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:54:31.070268,,,,,,,,,
1,Simulation configuration ID,9b037bc9-d650-4f12-81ee-c3dccab45daf,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 67 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_32,0.0,164.0,household_agent_31,38.0,0.0,0.0,38.0,164.0
1,,,household_agent_39,1.0,88.0,household_agent_40,17.0,0.0,0.0,17.0,88.0
2,,,household_agent_16,2.0,82.0,household_agent_15,38.0,0.0,0.0,38.0,82.0
3,,,household_agent_16,3.0,105.0,household_agent_31,39.0,0.0,0.0,39.0,105.0
4,,,household_agent_40,4.0,111.0,household_agent_39,27.0,0.0,0.0,27.0,111.0
5,,,household_agent_40,5.0,83.0,household_agent_41,45.0,0.0,0.0,45.0,83.0
6,,,household_agent_9,6.0,93.0,household_agent_41,30.0,0.0,0.0,30.0,93.0
7,,,household_agent_31,7.0,137.0,household_agent_16,44.0,0.0,0.0,44.0,137.0
8,,,household_agent_31,8.0,122.0,household_agent_32,43.0,0.0,0.0,43.0,122.0
9,,,household_agent_41,9.0,149.0,household_agent_9,36.0,0.0,0.0,36.0,149.0
10,,,household_agent_41,10.0,143.0,household_agent_40,32.0,0.0,0.0,32.0,143.0
11,,,household_agent_15,11.0,163.0,household_agent_16,34.0,0.0,0.0,34.0,163.0
12,,,household_agent_13,12.0,171.0,household_agent_4,45.0,0.0,0.0,45.0,171.0
13,,,household_agent_4,13.0,165.0,household_agent_13,11.0,0.0,0.0,11.0,165.0
14,,,household_agent_4,100700.0,18679.0,household_agent_13,45.0,171.0,0.0,45.0,18679.0
15,,,household_agent_9,101200.0,2958.0,household_agent_41,36.0,149.0,0.0,36.0,2958.0
16,,,household_agent_13,101600.0,11424.0,household_agent_4,11.0,165.0,0.0,11.0,11424.0
17,,,household_agent_15,101800.0,7019.0,household_agent_16,38.0,82.0,0.0,38.0,7019.0
18,,,household_agent_16,101900.0,18007.0,household_agent_31,44.0,137.0,0.0,44.0,18007.0
19,,,household_agent_16,101901.0,11982.0,household_agent_15,34.0,163.0,0.0,34.0,11982.0
20,,,household_agent_31,103400.0,16625.0,household_agent_16,39.0,105.0,0.0,39.0,16625.0
21,,,household_agent_31,103401.0,4482.0,household_agent_32,38.0,164.0,0.0,38.0,4482.0
22,,,household_agent_32,103500.0,10593.0,household_agent_31,43.0,122.0,0.0,43.0,10593.0
23,,,household_agent_39,104200.0,27477.0,household_agent_40,27.0,111.0,0.0,27.0,27477.0
24,,,household_agent_40,104300.0,1419.0,household_agent_39,17.0,88.0,0.0,17.0,1419.0
25,,,household_agent_40,104301.0,16905.0,household_agent_41,32.0,143.0,0.0,32.0,16905.0
26,,,household_agent_41,104400.0,22988.0,household_agent_40,45.0,83.0,0.0,45.0,22988.0
27,,,household_agent_41,104401.0,15741.0,household_agent_9,30.0,93.0,0.0,30.0,15741.0
