,Parameter,Value,sender
0,Start simulation,2025-01-01 00:33:27.121625,
1,Simulation configuration ID,1cd08b99-f196-417e-b438-5cc9602c3907,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Ring Overlay Topology with 330 agents,
4,Agent communication pattern,EVManagementSystem,
5,Trigger Type,EVENT_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
