,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 18:05:07.139105,,,,,,,,,
1,Simulation configuration ID,00e2725c-caae-4eea-b201-db9e8fa02321,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 67 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_12,0.0,156.0,household_agent_11,645.0,0.0,1.0,536.0,157.0
1,,,household_agent_12,0.0,156.0,household_agent_11,645.0,0.0,1.0,109.0,157.0
2,,,household_agent_15,1.0,142.0,household_agent_14,238.0,0.0,1.0,238.0,143.0
3,,,household_agent_11,2.0,135.0,household_agent_12,912.0,0.0,1.0,536.0,136.0
4,,,household_agent_11,2.0,135.0,household_agent_12,912.0,0.0,1.0,376.0,136.0
5,,,household_agent_14,3.0,135.0,household_agent_15,516.0,0.0,2.0,516.0,137.0
6,,,household_agent_26,4.0,167.0,household_agent_25,479.0,0.0,1.0,479.0,168.0
7,,,household_agent_3,5.0,72.0,household_agent_4,685.0,0.0,3.0,536.0,75.0
8,,,household_agent_3,5.0,72.0,household_agent_4,685.0,0.0,3.0,149.0,75.0
9,,,household_agent_25,6.0,104.0,household_agent_26,751.0,0.0,1.0,536.0,105.0
10,,,household_agent_25,6.0,104.0,household_agent_26,751.0,0.0,1.0,215.0,105.0
11,,,household_agent_4,7.0,71.0,household_agent_3,709.0,0.0,2.0,536.0,73.0
12,,,household_agent_4,7.0,71.0,household_agent_3,709.0,0.0,3.0,173.0,74.0
