,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-21 13:53:40.710539,,,,,,,,,
1,Simulation configuration ID,37ca2aff-e279-4987-bef8-7c5f3b1e8f00,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,grid_infrastructure_agent_9,0.0,0.0,grid_infrastructure_agent_10,41.0,0.0,60.0,41.0,60.0
1,,,grid_infrastructure_agent_10,1.0,0.0,grid_infrastructure_agent_9,45.0,0.0,60.0,45.0,60.0
2,,,grid_infrastructure_agent_9,100900.0,987.0,grid_infrastructure_agent_10,45.0,60.0,59.0,45.0,1046.0
3,,,grid_infrastructure_agent_10,101000.0,210.0,grid_infrastructure_agent_9,41.0,60.0,59.0,41.0,269.0
