,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 22:41:06.821220,,,,,,,,,
1,Simulation configuration ID,f9b9962c-40c1-4c0f-a652-6fd7d64b4882,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_11,0.0,140.0,household_agent_10,24.0,0.0,59.0,24.0,199.0
1,,,household_agent_11,6.0,340.0,household_agent_10,41.0,0.0,62.0,41.0,402.0
2,,,household_agent_82,1.0,161.0,household_agent_83,24.0,0.0,54.0,24.0,215.0
3,,,household_agent_82,7.0,318.0,household_agent_83,15.0,0.0,62.0,15.0,380.0
4,,,household_agent_83,2.0,110.0,household_agent_82,16.0,0.0,53.0,16.0,163.0
5,,,household_agent_83,8.0,336.0,household_agent_82,28.0,0.0,93.0,28.0,429.0
6,,,household_agent_10,3.0,149.0,household_agent_11,16.0,0.0,59.0,16.0,208.0
7,,,household_agent_10,9.0,312.0,household_agent_11,43.0,0.0,99.0,43.0,411.0
8,,,household_agent_70,4.0,144.0,household_agent_71,26.0,0.0,53.0,26.0,197.0
9,,,household_agent_70,10.0,293.0,household_agent_71,30.0,0.0,53.0,30.0,346.0
10,,,household_agent_71,5.0,140.0,household_agent_70,47.0,0.0,53.0,47.0,193.0
11,,,household_agent_71,11.0,354.0,household_agent_70,19.0,0.0,51.0,19.0,405.0
12,,,household_agent_10,103400.0,274.0,household_agent_11,24.0,199.0,97.0,24.0,371.0
13,,,household_agent_10,103401.0,478.0,household_agent_11,41.0,402.0,59.0,41.0,537.0
14,,,household_agent_11,103500.0,209.0,household_agent_10,16.0,208.0,59.0,16.0,268.0
15,,,household_agent_11,103501.0,480.0,household_agent_10,43.0,411.0,59.0,43.0,539.0
16,,,household_agent_70,109400.0,236.0,household_agent_71,47.0,193.0,52.0,47.0,288.0
17,,,household_agent_70,109401.0,450.0,household_agent_71,19.0,405.0,53.0,19.0,503.0
18,,,household_agent_71,109500.0,249.0,household_agent_70,26.0,197.0,53.0,26.0,302.0
19,,,household_agent_71,109501.0,411.0,household_agent_70,30.0,346.0,53.0,30.0,464.0
20,,,household_agent_82,110600.0,235.0,household_agent_83,16.0,163.0,54.0,16.0,289.0
21,,,household_agent_82,110601.0,447.0,household_agent_83,28.0,429.0,56.0,28.0,503.0
22,,,household_agent_83,110700.0,312.0,household_agent_82,24.0,215.0,77.0,24.0,389.0
23,,,household_agent_83,110701.0,429.0,household_agent_82,15.0,380.0,53.0,15.0,482.0
