,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 07:14:35.246553,,,,,,
1,Simulation configuration ID,f88c004f-237f-45e7-9fc7-c7a66e9bbff0,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,
0,,,0.0,87.0,storage_agent_35,1253.0,191.0,control_center_agent
0,,,1.0,24281.0,storage_agent_34,1252.0,191.0,storage_agent_35
1,,,2.0,24281.0,storage_agent_36,1254.0,191.0,storage_agent_35
2,,,3.0,9536.0,control_center_agent,1319.0,191.0,storage_agent_35
