,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 13:43:21.728004,,,,,,,,,
1,Simulation configuration ID,6ac783c1-70c0-40e9-8a64-eb420738c408,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_15,0.0,54.0,household_agent_16,107.0,0.0,60.0,107.0,114.0
1,,,household_agent_15,4.0,1158.0,household_agent_16,178.0,0.0,61.0,178.0,1219.0
2,,,household_agent_34,1.0,61.0,household_agent_33,158.0,0.0,53.0,158.0,114.0
3,,,household_agent_34,5.0,1202.0,household_agent_33,120.0,0.0,59.0,120.0,1261.0
4,,,household_agent_16,2.0,49.0,household_agent_15,59.0,0.0,62.0,59.0,111.0
5,,,household_agent_16,6.0,1196.0,household_agent_15,122.0,0.0,64.0,122.0,1260.0
6,,,household_agent_33,3.0,35.0,household_agent_34,56.0,0.0,77.0,56.0,112.0
7,,,household_agent_33,7.0,1145.0,household_agent_34,120.0,0.0,56.0,120.0,1201.0
8,,,household_agent_15,103300.0,465.0,household_agent_16,59.0,111.0,60.0,59.0,525.0
9,,,household_agent_15,103301.0,1868.0,household_agent_16,122.0,1260.0,60.0,122.0,1928.0
10,,,household_agent_16,103400.0,515.0,household_agent_15,107.0,114.0,64.0,107.0,579.0
11,,,household_agent_16,103401.0,2017.0,household_agent_15,178.0,1219.0,66.0,178.0,2083.0
12,,,household_agent_33,105100.0,814.0,household_agent_34,158.0,114.0,57.0,158.0,871.0
13,,,household_agent_33,105101.0,1651.0,household_agent_34,120.0,1261.0,56.0,120.0,1707.0
14,,,household_agent_34,105200.0,745.0,household_agent_33,56.0,112.0,53.0,56.0,798.0
15,,,household_agent_34,105201.0,1453.0,household_agent_33,120.0,1201.0,53.0,120.0,1506.0
