,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-13 01:36:53.587996,,,,,,,,
1,Simulation configuration ID,9785eb25-0f15-4a81-abff-010abbbe7887,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 330 agents,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,7.0,household_agent_23,1047.0,81.0,True,4.0,household_agent_34
1,,,1.0,7.0,household_agent_41,1065.0,71.0,True,58.0,household_agent_34
2,,,2.0,7.0,household_agent_44,1068.0,92.0,True,83.0,household_agent_34
3,,,3.0,7.0,household_agent_45,1069.0,89.0,True,58.0,household_agent_34
4,,,4.0,7.0,household_agent_51,1075.0,75.0,True,20.0,household_agent_34
5,,,5.0,7.0,household_agent_56,1080.0,103.0,True,89.0,household_agent_34
6,,,6.0,7.0,household_agent_60,1084.0,129.0,True,52.0,household_agent_34
7,,,7.0,7.0,generation_agent_36,1160.0,125.0,True,61.0,household_agent_34
8,,,8.0,7.0,generation_agent_43,1167.0,108.0,True,94.0,household_agent_34
9,,,9.0,7.0,generation_agent_77,1201.0,128.0,True,45.0,household_agent_34
10,,,10.0,7.0,storage_agent_27,1251.0,197.0,True,34.0,household_agent_34
11,,,11.0,7.0,storage_agent_66,1290.0,146.0,True,67.0,household_agent_34
12,,,12.0,7.0,storage_agent_81,1305.0,107.0,True,11.0,household_agent_34
13,,,13.0,7.0,storage_agent_88,1312.0,114.0,True,45.0,household_agent_34
14,,,14.0,7.0,household_agent_23,1047.0,143.0,True,60.0,household_agent_34
15,,,15.0,7.0,household_agent_41,1065.0,100.0,True,80.0,household_agent_34
16,,,16.0,7.0,household_agent_44,1068.0,59.0,True,75.0,household_agent_34
17,,,17.0,7.0,household_agent_45,1069.0,65.0,True,25.0,household_agent_34
18,,,18.0,7.0,household_agent_51,1075.0,117.0,True,89.0,household_agent_34
19,,,19.0,7.0,household_agent_56,1080.0,116.0,True,21.0,household_agent_34
20,,,20.0,7.0,household_agent_60,1084.0,83.0,True,64.0,household_agent_34
21,,,21.0,7.0,generation_agent_36,1160.0,200.0,True,48.0,household_agent_34
22,,,22.0,7.0,generation_agent_43,1167.0,192.0,True,95.0,household_agent_34
23,,,23.0,7.0,generation_agent_77,1201.0,90.0,True,43.0,household_agent_34
24,,,24.0,7.0,storage_agent_27,1251.0,164.0,True,49.0,household_agent_34
25,,,25.0,7.0,storage_agent_66,1290.0,129.0,True,57.0,household_agent_34
26,,,26.0,7.0,storage_agent_81,1305.0,63.0,True,76.0,household_agent_34
27,,,27.0,7.0,storage_agent_88,1312.0,92.0,True,38.0,household_agent_34
28,,,28.0,7.0,household_agent_23,1047.0,178.0,True,39.0,household_agent_34
29,,,29.0,7.0,household_agent_41,1065.0,67.0,True,14.0,household_agent_34
30,,,30.0,7.0,household_agent_44,1068.0,72.0,True,42.0,household_agent_34
31,,,31.0,7.0,household_agent_45,1069.0,81.0,True,84.0,household_agent_34
32,,,32.0,7.0,household_agent_51,1075.0,126.0,True,12.0,household_agent_34
33,,,33.0,7.0,household_agent_56,1080.0,108.0,True,1.0,household_agent_34
34,,,34.0,7.0,household_agent_60,1084.0,167.0,True,93.0,household_agent_34
35,,,35.0,7.0,generation_agent_36,1160.0,96.0,True,78.0,household_agent_34
36,,,36.0,7.0,generation_agent_43,1167.0,72.0,True,0.0,household_agent_34
37,,,37.0,7.0,generation_agent_77,1201.0,147.0,True,41.0,household_agent_34
38,,,38.0,7.0,storage_agent_27,1251.0,92.0,True,77.0,household_agent_34
39,,,39.0,7.0,storage_agent_66,1290.0,105.0,True,86.0,household_agent_34
40,,,40.0,7.0,storage_agent_81,1305.0,59.0,True,75.0,household_agent_34
41,,,41.0,7.0,storage_agent_88,1312.0,122.0,True,66.0,household_agent_34
42,,,42.0,7.0,household_agent_23,1047.0,83.0,True,75.0,household_agent_34
43,,,43.0,7.0,household_agent_41,1065.0,190.0,True,53.0,household_agent_34
44,,,44.0,7.0,household_agent_44,1068.0,59.0,True,42.0,household_agent_34
45,,,45.0,7.0,household_agent_45,1069.0,106.0,True,64.0,household_agent_34
46,,,46.0,7.0,household_agent_51,1075.0,196.0,True,26.0,household_agent_34
47,,,47.0,7.0,household_agent_56,1080.0,101.0,True,4.0,household_agent_34
48,,,48.0,7.0,household_agent_60,1084.0,171.0,True,24.0,household_agent_34
49,,,49.0,7.0,generation_agent_36,1160.0,136.0,True,59.0,household_agent_34
50,,,50.0,7.0,generation_agent_43,1167.0,161.0,True,35.0,household_agent_34
51,,,51.0,7.0,generation_agent_77,1201.0,132.0,True,38.0,household_agent_34
52,,,52.0,7.0,storage_agent_27,1251.0,82.0,True,83.0,household_agent_34
53,,,53.0,7.0,storage_agent_66,1290.0,166.0,True,61.0,household_agent_34
54,,,54.0,7.0,storage_agent_81,1305.0,53.0,True,74.0,household_agent_34
55,,,55.0,7.0,storage_agent_88,1312.0,123.0,True,28.0,household_agent_34
56,,,56.0,7.0,household_agent_23,1047.0,89.0,True,92.0,household_agent_34
57,,,57.0,7.0,household_agent_41,1065.0,96.0,True,40.0,household_agent_34
58,,,58.0,7.0,household_agent_44,1068.0,113.0,True,51.0,household_agent_34
59,,,59.0,7.0,household_agent_45,1069.0,135.0,True,16.0,household_agent_34
60,,,60.0,7.0,household_agent_51,1075.0,52.0,True,12.0,household_agent_34
61,,,61.0,7.0,household_agent_56,1080.0,167.0,True,53.0,household_agent_34
62,,,62.0,7.0,household_agent_60,1084.0,85.0,True,45.0,household_agent_34
63,,,63.0,7.0,generation_agent_36,1160.0,162.0,True,39.0,household_agent_34
64,,,64.0,7.0,generation_agent_43,1167.0,198.0,True,5.0,household_agent_34
65,,,65.0,7.0,generation_agent_77,1201.0,154.0,True,27.0,household_agent_34
66,,,66.0,7.0,storage_agent_27,1251.0,181.0,True,19.0,household_agent_34
67,,,67.0,7.0,storage_agent_66,1290.0,186.0,True,38.0,household_agent_34
68,,,68.0,7.0,storage_agent_81,1305.0,89.0,True,38.0,household_agent_34
69,,,69.0,7.0,storage_agent_88,1312.0,131.0,True,0.0,household_agent_34
