,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-02 02:05:02.994589,,,,,,,,,,,
1,Simulation configuration ID,a76293df-4c65-4001-96dd-2065dac451ed,,,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,35.0,generation_agent_99,1223.0,613.0,True,52.0,grid_infrastructure_agent_11,168.0,525.0,216.0
1,,,1.0,35.0,grid_infrastructure_agent_10,1010.0,689.0,True,79.0,grid_infrastructure_agent_11,382.0,536.0,471.0
2,,,1.0,35.0,grid_infrastructure_agent_10,1010.0,689.0,True,79.0,grid_infrastructure_agent_11,427.0,204.0,516.0
