,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-21 23:59:54.183770,,,,,,,,
1,Simulation configuration ID,d38a6fc8-1e01-4e98-9ea5-bd4e94ba5eae,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Star Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,
0,,,0.0,61.0,substation_agent_0,1323.0,820.0,True,10.0,grid_infrastructure_agent_7
0,,,1.0,61.0,substation_agent_0,1323.0,285.0,True,66.0,grid_infrastructure_agent_10
0,,,2.0,61.0,substation_agent_0,1323.0,763.0,True,21.0,grid_infrastructure_agent_9
0,,,3.0,61.0,substation_agent_0,1323.0,302.0,True,5.0,grid_infrastructure_agent_6
0,,,4.0,61.0,substation_agent_0,1323.0,869.0,True,40.0,grid_infrastructure_agent_13
0,,,5.0,61.0,substation_agent_0,1323.0,912.0,True,79.0,grid_infrastructure_agent_1
0,,,6.0,61.0,substation_agent_0,1323.0,409.0,True,16.0,grid_infrastructure_agent_16
0,,,7.0,61.0,substation_agent_0,1323.0,973.0,True,51.0,grid_infrastructure_agent_14
0,,,8.0,61.0,substation_agent_0,1323.0,466.0,True,18.0,grid_infrastructure_agent_4
0,,,9.0,61.0,substation_agent_0,1323.0,934.0,True,2.0,grid_infrastructure_agent_12
