,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:36:19.848216,,,,,,,,,
1,Simulation configuration ID,bbfb7393-096d-4542-9fda-595e713b0b54,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 332 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_18,0.0,143.0,household_agent_19,184.0,0.0,0.0,184.0,143.0
1,,,household_agent_6,1.0,133.0,household_agent_84,121.0,0.0,0.0,121.0,133.0
2,,,household_agent_80,2.0,50.0,household_agent_52,173.0,0.0,0.0,173.0,50.0
3,,,household_agent_0,3.0,82.0,household_agent_1,122.0,0.0,0.0,122.0,82.0
4,,,household_agent_19,4.0,77.0,household_agent_18,198.0,0.0,0.0,198.0,77.0
5,,,household_agent_1,5.0,68.0,household_agent_0,68.0,0.0,0.0,68.0,68.0
6,,,household_agent_39,6.0,142.0,household_agent_38,99.0,0.0,0.0,99.0,142.0
7,,,household_agent_84,7.0,140.0,household_agent_6,98.0,0.0,0.0,98.0,140.0
8,,,household_agent_52,8.0,86.0,household_agent_80,88.0,0.0,0.0,88.0,86.0
9,,,household_agent_38,9.0,125.0,household_agent_39,175.0,0.0,0.0,175.0,125.0
10,,,household_agent_0,102400.0,19516.0,household_agent_1,68.0,68.0,0.0,68.0,19516.0
11,,,household_agent_1,102500.0,15933.0,household_agent_0,122.0,82.0,0.0,122.0,15933.0
12,,,household_agent_6,103000.0,17966.0,household_agent_84,98.0,140.0,0.0,98.0,17966.0
13,,,household_agent_18,104200.0,7117.0,household_agent_19,198.0,77.0,0.0,198.0,7117.0
14,,,household_agent_19,104300.0,29469.0,household_agent_18,184.0,143.0,0.0,184.0,29469.0
15,,,household_agent_38,106200.0,11460.0,household_agent_39,99.0,142.0,0.0,99.0,11460.0
16,,,household_agent_39,106300.0,17579.0,household_agent_38,175.0,125.0,0.0,175.0,17579.0
17,,,household_agent_52,107600.0,18967.0,household_agent_80,173.0,50.0,0.0,173.0,18967.0
18,,,household_agent_80,110400.0,27468.0,household_agent_52,88.0,86.0,0.0,88.0,27468.0
19,,,household_agent_84,110800.0,25471.0,household_agent_6,121.0,133.0,0.0,121.0,25471.0
