,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-21 16:53:44.401317,,,,,,,,,
1,Simulation configuration ID,9ae1caef-fcbf-4b03-87c2-755008918953,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 332 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,grid_infrastructure_agent_7,0.0,41.0,grid_infrastructure_agent_6,10.0,0.0,0.0,10.0,41.0
1,,,grid_infrastructure_agent_6,1.0,41.0,grid_infrastructure_agent_7,44.0,0.0,0.0,44.0,41.0
2,,,grid_infrastructure_agent_6,100600.0,7233.0,grid_infrastructure_agent_7,10.0,41.0,0.0,10.0,7233.0
3,,,grid_infrastructure_agent_7,100700.0,18522.0,grid_infrastructure_agent_6,44.0,41.0,0.0,44.0,18522.0
