,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-22 00:04:32.726173,,,,,,,,
1,Simulation configuration ID,c0627fd3-0b89-4a46-a36a-869d54b54210,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,36.0,grid_infrastructure_agent_0,1000.0,328.0,True,82.0,grid_infrastructure_agent_17
1,,,1.0,36.0,grid_infrastructure_agent_1,1001.0,647.0,True,90.0,grid_infrastructure_agent_17
0,,,2.0,36.0,grid_infrastructure_agent_1,1001.0,335.0,True,83.0,grid_infrastructure_agent_0
1,,,3.0,36.0,grid_infrastructure_agent_17,1017.0,631.0,True,62.0,grid_infrastructure_agent_0
0,,,4.0,36.0,grid_infrastructure_agent_0,1000.0,390.0,True,32.0,grid_infrastructure_agent_1
1,,,5.0,36.0,grid_infrastructure_agent_17,1017.0,367.0,True,65.0,grid_infrastructure_agent_1
