,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 22:55:24.598425,,,,,,,,,
1,Simulation configuration ID,bd505176-b223-4619-8e71-1dd035b00f39,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_27,0.0,93.0,household_agent_91,26.0,0.0,59.0,26.0,152.0
1,,,household_agent_91,1.0,120.0,household_agent_27,25.0,0.0,64.0,25.0,184.0
2,,,household_agent_27,105100.0,26422.0,household_agent_91,25.0,184.0,59.0,25.0,26481.0
3,,,household_agent_91,111500.0,7018.0,household_agent_27,26.0,152.0,60.0,26.0,7078.0
