,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-21 15:38:52.365610,,,,,,,,
1,Simulation configuration ID,c6c5c8a8-f716-4f6f-9c8e-497bcee49aa6,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,43.0,household_agent_43,1061.0,486.0,True,748.0,household_agent_42
1,,,1.0,43.0,household_agent_43,1061.0,590.0,True,930.0,household_agent_42
2,,,2.0,43.0,household_agent_43,1061.0,255.0,True,121.0,household_agent_42
3,,,3.0,43.0,household_agent_43,1061.0,904.0,True,642.0,household_agent_42
4,,,4.0,43.0,household_agent_43,1061.0,925.0,True,126.0,household_agent_42
