,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:29:29.316023,,,,,,,,,
1,Simulation configuration ID,e3cbd12a-68ad-4a1a-9abc-aac7406bf787,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 332 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_99,0.0,91.0,household_agent_98,9.0,0.0,0.0,9.0,91.0
1,,,household_agent_99,4.0,1156.0,household_agent_98,23.0,0.0,0.0,23.0,1156.0
2,,,household_agent_98,1.0,28.0,household_agent_99,44.0,0.0,0.0,44.0,28.0
3,,,household_agent_98,5.0,1172.0,household_agent_99,44.0,0.0,0.0,44.0,1172.0
4,,,household_agent_41,2.0,47.0,household_agent_40,14.0,0.0,0.0,14.0,47.0
5,,,household_agent_41,6.0,1189.0,household_agent_40,34.0,0.0,0.0,34.0,1189.0
6,,,household_agent_40,3.0,40.0,household_agent_41,47.0,0.0,0.0,47.0,40.0
7,,,household_agent_40,7.0,1198.0,household_agent_41,23.0,0.0,0.0,23.0,1198.0
8,,,household_agent_40,106400.0,1030.0,household_agent_41,14.0,47.0,0.0,14.0,1030.0
9,,,household_agent_40,106401.0,1356.0,household_agent_41,34.0,1189.0,0.0,34.0,1356.0
10,,,household_agent_41,106500.0,431.0,household_agent_40,47.0,40.0,0.0,47.0,431.0
11,,,household_agent_41,106501.0,1514.0,household_agent_40,23.0,1198.0,0.0,23.0,1514.0
12,,,household_agent_98,112200.0,217.0,household_agent_99,9.0,91.0,0.0,9.0,217.0
13,,,household_agent_98,112201.0,2125.0,household_agent_99,23.0,1156.0,0.0,23.0,2125.0
14,,,household_agent_99,112300.0,719.0,household_agent_98,44.0,28.0,0.0,44.0,719.0
15,,,household_agent_99,112301.0,1321.0,household_agent_98,44.0,1172.0,0.0,44.0,1321.0
