,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-22 03:21:52.614735,,,,,,,,
1,Simulation configuration ID,2c070c7a-12d9-4afe-87ba-1875192ea055,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 330 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,40.0,grid_infrastructure_agent_14,1014.0,232.0,True,28824.0,grid_infrastructure_agent_16
1,,,1.0,40.0,grid_infrastructure_agent_20,1020.0,901.0,True,4270.0,grid_infrastructure_agent_16
0,,,2.0,40.0,grid_infrastructure_agent_16,1016.0,277.0,True,22799.0,grid_infrastructure_agent_14
1,,,3.0,40.0,grid_infrastructure_agent_20,1020.0,878.0,True,9025.0,grid_infrastructure_agent_14
0,,,4.0,40.0,grid_infrastructure_agent_14,1014.0,644.0,True,7419.0,grid_infrastructure_agent_20
1,,,5.0,40.0,grid_infrastructure_agent_16,1016.0,503.0,True,20092.0,grid_infrastructure_agent_20
