,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-05 08:23:23.776346,,,,,,,,
1,Simulation configuration ID,518248d3-a455-4562-a319-57b5348de186,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,36.0,generation_agent_66,1184.0,34.0,True,788.0,household_agent_67
1,,,1.0,36.0,generation_agent_66,1184.0,50.0,True,464.0,household_agent_67
2,,,2.0,36.0,generation_agent_66,1184.0,26.0,True,805.0,household_agent_67
3,,,3.0,36.0,generation_agent_66,1184.0,33.0,True,468.0,household_agent_67
4,,,4.0,36.0,generation_agent_66,1184.0,25.0,True,120.0,household_agent_67
