,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 15:52:35.010910,,,,,,,,,
1,Simulation configuration ID,9a09d6c7-63dd-4253-a462-7713b8fc26be,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 326 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_47,0.0,102.0,household_agent_48,25.0,0.0,0.0,25.0,102.0
1,,,household_agent_47,2.0,394.0,household_agent_48,45.0,0.0,0.0,45.0,394.0
2,,,household_agent_48,1.0,164.0,household_agent_47,44.0,0.0,0.0,44.0,164.0
3,,,household_agent_48,3.0,365.0,household_agent_47,48.0,0.0,0.0,48.0,365.0
4,,,household_agent_47,106500.0,229.0,household_agent_48,44.0,164.0,0.0,44.0,229.0
5,,,household_agent_47,106501.0,446.0,household_agent_48,48.0,365.0,0.0,48.0,446.0
6,,,household_agent_48,106600.0,198.0,household_agent_47,25.0,102.0,0.0,25.0,198.0
7,,,household_agent_48,106601.0,490.0,household_agent_47,45.0,394.0,0.0,45.0,490.0
