,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 00:13:56.844279,,,,,,,,,
1,Simulation configuration ID,417be1da-c845-46ac-8ead-fbadfc40606c,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_48,0.0,152.0,household_agent_49,46.0,0.0,64.0,46.0,216.0
1,,,household_agent_48,4.0,1228.0,household_agent_49,13.0,0.0,59.0,13.0,1287.0
2,,,household_agent_49,1.0,166.0,household_agent_48,27.0,0.0,60.0,27.0,226.0
3,,,household_agent_49,5.0,1250.0,household_agent_48,48.0,0.0,58.0,48.0,1308.0
4,,,household_agent_48,107200.0,756.0,household_agent_49,27.0,226.0,58.0,27.0,814.0
5,,,household_agent_48,107201.0,2150.0,household_agent_49,48.0,1308.0,59.0,48.0,2209.0
6,,,household_agent_49,107300.0,735.0,household_agent_48,46.0,216.0,61.0,46.0,796.0
7,,,household_agent_49,107301.0,1919.0,household_agent_48,13.0,1287.0,60.0,13.0,1979.0
