,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:38:46.686793,,,,,,,,,
1,Simulation configuration ID,7291c9e1-89b0-495a-8e97-e227a499e483,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 332 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_34,0.0,55.0,household_agent_33,417.0,0.0,0.0,417.0,55.0
1,,,household_agent_34,6.0,330.0,household_agent_33,356.0,0.0,0.0,356.0,330.0
2,,,household_agent_7,1.0,46.0,household_agent_6,436.0,0.0,0.0,436.0,46.0
3,,,household_agent_7,7.0,233.0,household_agent_6,570.0,0.0,1.0,536.0,234.0
4,,,household_agent_7,7.0,233.0,household_agent_6,570.0,0.0,1.0,34.0,234.0
5,,,household_agent_4,2.0,39.0,household_agent_3,812.0,0.0,1.0,536.0,40.0
6,,,household_agent_4,2.0,39.0,household_agent_3,812.0,0.0,1.0,276.0,40.0
7,,,household_agent_4,8.0,267.0,household_agent_3,865.0,0.0,1.0,536.0,268.0
8,,,household_agent_4,8.0,267.0,household_agent_3,865.0,0.0,1.0,329.0,268.0
9,,,household_agent_33,3.0,80.0,household_agent_34,894.0,0.0,1.0,536.0,81.0
10,,,household_agent_33,3.0,80.0,household_agent_34,894.0,0.0,1.0,358.0,81.0
11,,,household_agent_33,9.0,293.0,household_agent_34,403.0,0.0,0.0,403.0,293.0
12,,,household_agent_3,4.0,40.0,household_agent_4,313.0,0.0,0.0,313.0,40.0
13,,,household_agent_3,10.0,317.0,household_agent_4,842.0,0.0,1.0,536.0,318.0
14,,,household_agent_3,10.0,317.0,household_agent_4,842.0,0.0,2.0,306.0,319.0
15,,,household_agent_6,5.0,114.0,household_agent_7,835.0,0.0,1.0,536.0,115.0
16,,,household_agent_6,5.0,114.0,household_agent_7,835.0,0.0,1.0,299.0,115.0
17,,,household_agent_6,11.0,245.0,household_agent_7,520.0,0.0,1.0,520.0,246.0
18,,,household_agent_3,102701.0,100.0,household_agent_4,812.0,40.0,1.0,536.0,101.0
19,,,household_agent_3,102701.0,100.0,household_agent_4,812.0,40.0,1.0,276.0,101.0
20,,,household_agent_3,102703.0,316.0,household_agent_4,865.0,268.0,1.0,536.0,317.0
21,,,household_agent_3,102703.0,316.0,household_agent_4,865.0,268.0,1.0,329.0,317.0
22,,,household_agent_4,102800.0,54.0,household_agent_3,313.0,40.0,0.0,313.0,54.0
23,,,household_agent_4,102801.0,413.0,household_agent_3,842.0,318.0,1.0,536.0,414.0
24,,,household_agent_4,102801.0,413.0,household_agent_3,842.0,318.0,1.0,306.0,414.0
25,,,household_agent_4,102802.0,414.0,household_agent_3,842.0,319.0,1.0,536.0,415.0
26,,,household_agent_4,102802.0,414.0,household_agent_3,842.0,319.0,2.0,306.0,416.0
27,,,household_agent_6,103000.0,70.0,household_agent_7,436.0,46.0,0.0,436.0,70.0
28,,,household_agent_6,103002.0,305.0,household_agent_7,570.0,234.0,1.0,536.0,306.0
29,,,household_agent_6,103002.0,305.0,household_agent_7,570.0,234.0,1.0,34.0,306.0
30,,,household_agent_7,103101.0,168.0,household_agent_6,835.0,115.0,1.0,536.0,169.0
31,,,household_agent_7,103101.0,168.0,household_agent_6,835.0,115.0,1.0,299.0,169.0
32,,,household_agent_7,103102.0,307.0,household_agent_6,520.0,246.0,1.0,520.0,308.0
33,,,household_agent_33,105700.0,65.0,household_agent_34,417.0,55.0,0.0,417.0,65.0
34,,,household_agent_33,105701.0,377.0,household_agent_34,356.0,330.0,0.0,356.0,377.0
35,,,household_agent_34,105801.0,131.0,household_agent_33,894.0,81.0,1.0,536.0,132.0
36,,,household_agent_34,105801.0,131.0,household_agent_33,894.0,81.0,1.0,358.0,132.0
37,,,household_agent_34,105802.0,311.0,household_agent_33,403.0,293.0,0.0,403.0,311.0
