,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 15:14:21.347858,,,,,,,,,
1,Simulation configuration ID,5db79eba-40f9-415c-956e-03a2ce3887fc,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_48,0.0,130.0,household_agent_47,193.0,0.0,57.0,193.0,187.0
1,,,household_agent_47,1.0,142.0,household_agent_48,184.0,0.0,56.0,184.0,198.0
2,,,household_agent_95,2.0,122.0,household_agent_94,82.0,0.0,65.0,82.0,187.0
3,,,household_agent_94,3.0,54.0,household_agent_95,84.0,0.0,62.0,84.0,116.0
4,,,household_agent_47,106500.0,17702.0,household_agent_48,193.0,187.0,56.0,193.0,17758.0
5,,,household_agent_48,106600.0,6956.0,household_agent_47,184.0,198.0,54.0,184.0,7010.0
6,,,household_agent_94,111200.0,21212.0,household_agent_95,82.0,187.0,62.0,82.0,21274.0
7,,,household_agent_95,111300.0,15763.0,household_agent_94,84.0,116.0,59.0,84.0,15822.0
