,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-29 20:09:41.363557,,,,,,
1,Simulation configuration ID,33c78087-4e7b-4064-8d0d-47862cc3c01d,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,
0,,,0.0,89.0,storage_agent_72,1290.0,41.0,control_center_agent
0,,,1.0,890.0,household_agent_72,1090.0,41.0,storage_agent_72
1,,,2.0,890.0,generation_agent_99,1217.0,41.0,storage_agent_72
2,,,3.0,890.0,storage_agent_71,1289.0,41.0,storage_agent_72
3,,,4.0,890.0,storage_agent_73,1291.0,41.0,storage_agent_72
4,,,5.0,890.0,storage_agent_18,1236.0,41.0,storage_agent_72
5,,,6.0,818.0,control_center_agent,1319.0,41.0,storage_agent_72
