,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2024-12-31 11:39:25.766101,,,,,,,,
1,Simulation configuration ID,2019bf79-5b73-42a9-ab26-6e6a832d847a,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,111.0,household_agent_58,1076.0,316.0,True,11.0,household_agent_57
1,,,2.0,305.0,household_agent_58,1076.0,844.0,True,80.0,household_agent_57
0,,,1.0,179.0,household_agent_57,1075.0,721.0,True,72.0,household_agent_58
1,,,3.0,314.0,household_agent_57,1075.0,749.0,True,37.0,household_agent_58
