,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 16:07:54.400491,,,,,,,,,
1,Simulation configuration ID,f5183498-61a8-488e-81d0-d06fa96b3531,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 326 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_20,0.0,96.0,household_agent_19,421.0,0.0,1.0,421.0,97.0
1,,,household_agent_5,1.0,183.0,household_agent_6,636.0,0.0,1.0,536.0,184.0
2,,,household_agent_5,1.0,183.0,household_agent_6,636.0,0.0,1.0,100.0,184.0
3,,,household_agent_19,2.0,101.0,household_agent_18,926.0,0.0,1.0,536.0,102.0
4,,,household_agent_19,2.0,101.0,household_agent_18,926.0,0.0,1.0,390.0,102.0
5,,,household_agent_19,3.0,172.0,household_agent_20,775.0,0.0,2.0,536.0,174.0
6,,,household_agent_19,3.0,172.0,household_agent_20,775.0,0.0,3.0,239.0,175.0
7,,,household_agent_18,4.0,128.0,household_agent_19,507.0,0.0,1.0,507.0,129.0
8,,,household_agent_6,5.0,115.0,household_agent_5,955.0,0.0,1.0,536.0,116.0
9,,,household_agent_6,5.0,115.0,household_agent_5,955.0,0.0,1.0,419.0,116.0
