,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-21 14:23:52.979052,,,,,,,,
1,Simulation configuration ID,a8543583-5da1-45f5-92aa-b097c7bc1840,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,89.0,grid_infrastructure_agent_14,1014.0,42.0,True,305.0,grid_infrastructure_agent_12
1,,,1.0,89.0,grid_infrastructure_agent_17,1017.0,16.0,True,987.0,grid_infrastructure_agent_12
0,,,2.0,89.0,grid_infrastructure_agent_12,1012.0,25.0,True,624.0,grid_infrastructure_agent_17
1,,,3.0,89.0,grid_infrastructure_agent_14,1014.0,27.0,True,889.0,grid_infrastructure_agent_17
0,,,4.0,89.0,grid_infrastructure_agent_12,1012.0,30.0,True,955.0,grid_infrastructure_agent_14
1,,,5.0,89.0,grid_infrastructure_agent_17,1017.0,47.0,True,565.0,grid_infrastructure_agent_14
