,Parameter,Value,sender
0,Start simulation,2025-01-09 22:16:35.423300,
1,Simulation configuration ID,7dd073c3-1e57-42c1-8244-f60150a6e42a,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,
3,Communication graph,Small World Overlay Topology with 65 agents and p = 0.5,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
