,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-21 19:21:57.286542,,,,,,,,
1,Simulation configuration ID,e6063ce3-04b4-42cd-9375-07945bfcb771,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,10.0,grid_infrastructure_agent_10,1010.0,143.0,True,96.0,grid_infrastructure_agent_9
0,,,1.0,10.0,grid_infrastructure_agent_9,1009.0,179.0,True,77.0,grid_infrastructure_agent_10
