,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 08:34:43.141354,,,,,,,,,
1,Simulation configuration ID,0239ec3f-141e-4853-b3d6-dea3f77d4aba,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_72,0.0,74.0,household_agent_71,34.0,0.0,53.0,34.0,127.0
1,,,household_agent_72,2.0,315.0,household_agent_71,9.0,0.0,59.0,9.0,374.0
2,,,household_agent_71,1.0,64.0,household_agent_72,22.0,0.0,49.0,22.0,113.0
3,,,household_agent_71,3.0,301.0,household_agent_72,23.0,0.0,53.0,23.0,354.0
4,,,household_agent_71,108900.0,154.0,household_agent_72,34.0,127.0,48.0,34.0,202.0
5,,,household_agent_71,108901.0,419.0,household_agent_72,9.0,374.0,59.0,9.0,478.0
6,,,household_agent_72,109000.0,129.0,household_agent_71,22.0,113.0,48.0,22.0,177.0
7,,,household_agent_72,109001.0,428.0,household_agent_71,23.0,354.0,53.0,23.0,481.0
