,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-21 20:01:08.084133,,,,,,,,
1,Simulation configuration ID,99dec1e5-aeb1-4272-b7a6-94ab25775324,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,99.0,grid_infrastructure_agent_0,1000.0,116.0,True,387.0,grid_infrastructure_agent_2
1,,,1.0,99.0,grid_infrastructure_agent_11,1011.0,62.0,True,547.0,grid_infrastructure_agent_2
0,,,2.0,99.0,grid_infrastructure_agent_0,1000.0,89.0,True,928.0,grid_infrastructure_agent_11
1,,,3.0,99.0,grid_infrastructure_agent_2,1002.0,183.0,True,967.0,grid_infrastructure_agent_11
0,,,4.0,99.0,grid_infrastructure_agent_2,1002.0,110.0,True,597.0,grid_infrastructure_agent_0
1,,,5.0,99.0,grid_infrastructure_agent_11,1011.0,187.0,True,643.0,grid_infrastructure_agent_0
