,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 10:47:05.511596,,,,,,
1,Simulation configuration ID,62db02c6-1a1e-44ab-b44c-ef20ea8ced60,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,92.0,aggregator_agent,1324.0,191.0,control_center_agent
0,,,1.0,280.0,household_agent_78,1102.0,191.0,aggregator_agent
1,,,5.0,355984.0,control_center_agent,1325.0,191.0,aggregator_agent
0,,,2.0,136218.0,household_agent_77,1101.0,191.0,household_agent_78
1,,,3.0,136218.0,household_agent_79,1103.0,191.0,household_agent_78
2,,,4.0,79176.0,aggregator_agent,1324.0,191.0,household_agent_78
