,Parameter,Value,sender
0,Start simulation,2025-01-07 19:46:02.753328,
1,Simulation configuration ID,a51c2fc1-c103-4a7d-99f7-15728ce5a39c,
2,Network,SimbenchNetwork_Ethernet_1-LV-semiurb4--1-no_sw,
3,Communication graph,Ring Overlay Topology with 67 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
