,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 16:23:05.661166,,,,,,
1,Simulation configuration ID,418b15f1-8693-4a41-8bda-90eede446666,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,15.0,aggregator_agent,1318.0,991.0,control_center_agent
0,,,1.0,180.0,storage_agent_30,1248.0,991.0,aggregator_agent
1,,,5.0,6894.0,control_center_agent,1319.0,991.0,aggregator_agent
0,,,2.0,15603.0,storage_agent_29,1247.0,991.0,storage_agent_30
1,,,3.0,15603.0,storage_agent_31,1249.0,991.0,storage_agent_30
2,,,4.0,5788.0,aggregator_agent,1318.0,991.0,storage_agent_30
