,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:48:33.246123,,,,,,,,,
1,Simulation configuration ID,f7fa6e46-04df-4ad5-bbab-686f87b31ff8,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 65 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_30,0.0,101.0,household_agent_6,897.0,0.0,49.0,536.0,150.0
1,,,household_agent_30,0.0,101.0,household_agent_6,897.0,0.0,83.0,361.0,184.0
2,,,household_agent_21,1.0,94.0,household_agent_20,295.0,0.0,58.0,295.0,152.0
3,,,household_agent_21,2.0,138.0,household_agent_44,652.0,0.0,56.0,536.0,194.0
4,,,household_agent_21,2.0,138.0,household_agent_44,652.0,0.0,90.0,116.0,228.0
5,,,household_agent_6,3.0,123.0,household_agent_30,321.0,0.0,47.0,321.0,170.0
6,,,household_agent_23,4.0,134.0,household_agent_24,328.0,0.0,55.0,328.0,189.0
7,,,household_agent_24,5.0,161.0,household_agent_23,779.0,0.0,64.0,536.0,225.0
8,,,household_agent_24,5.0,161.0,household_agent_23,779.0,0.0,99.0,243.0,260.0
9,,,household_agent_20,6.0,142.0,household_agent_21,846.0,0.0,55.0,536.0,197.0
10,,,household_agent_20,6.0,142.0,household_agent_21,846.0,0.0,95.0,310.0,237.0
11,,,household_agent_44,7.0,88.0,household_agent_21,750.0,0.0,52.0,536.0,140.0
12,,,household_agent_44,7.0,88.0,household_agent_21,750.0,0.0,89.0,214.0,177.0
13,,,household_agent_6,100900.0,4819.0,household_agent_30,897.0,150.0,49.0,536.0,4868.0
14,,,household_agent_6,100900.0,4819.0,household_agent_30,897.0,150.0,83.0,361.0,4902.0
15,,,household_agent_6,100901.0,4853.0,household_agent_30,897.0,184.0,61.0,536.0,4914.0
16,,,household_agent_6,100901.0,4853.0,household_agent_30,897.0,184.0,95.0,361.0,4948.0
17,,,household_agent_20,102300.0,18060.0,household_agent_21,295.0,152.0,53.0,295.0,18113.0
18,,,household_agent_21,102400.0,4414.0,household_agent_44,750.0,140.0,58.0,536.0,4472.0
19,,,household_agent_21,102400.0,4414.0,household_agent_44,750.0,140.0,93.0,214.0,4507.0
20,,,household_agent_21,102401.0,4451.0,household_agent_44,750.0,177.0,72.0,536.0,4523.0
21,,,household_agent_21,102401.0,4451.0,household_agent_44,750.0,177.0,107.0,214.0,4558.0
22,,,household_agent_21,102402.0,23866.0,household_agent_20,846.0,197.0,59.0,536.0,23925.0
23,,,household_agent_21,102402.0,23866.0,household_agent_20,846.0,197.0,110.0,310.0,23976.0
24,,,household_agent_21,102403.0,23906.0,household_agent_20,846.0,237.0,83.0,536.0,23989.0
25,,,household_agent_21,102403.0,23906.0,household_agent_20,846.0,237.0,120.0,310.0,24026.0
26,,,household_agent_23,102600.0,7840.0,household_agent_24,779.0,225.0,56.0,536.0,7896.0
27,,,household_agent_23,102600.0,7840.0,household_agent_24,779.0,225.0,96.0,243.0,7936.0
28,,,household_agent_23,102601.0,7875.0,household_agent_24,779.0,260.0,65.0,536.0,7940.0
29,,,household_agent_23,102601.0,7875.0,household_agent_24,779.0,260.0,101.0,243.0,7976.0
30,,,household_agent_24,102700.0,15695.0,household_agent_23,328.0,189.0,55.0,328.0,15750.0
31,,,household_agent_30,103300.0,27631.0,household_agent_6,321.0,170.0,47.0,321.0,27678.0
32,,,household_agent_44,104700.0,14222.0,household_agent_21,652.0,194.0,55.0,536.0,14277.0
33,,,household_agent_44,104700.0,14222.0,household_agent_21,652.0,194.0,95.0,116.0,14317.0
34,,,household_agent_44,104701.0,14256.0,household_agent_21,652.0,228.0,63.0,536.0,14319.0
35,,,household_agent_44,104701.0,14256.0,household_agent_21,652.0,228.0,101.0,116.0,14357.0
