,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-21 12:03:27.861144,,,,,,,,
1,Simulation configuration ID,4340f411-903a-4b5d-87bb-dde14955b34a,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,61.0,grid_infrastructure_agent_8,1008.0,11.0,True,52.0,grid_infrastructure_agent_6
1,,,1.0,61.0,grid_infrastructure_agent_15,1015.0,31.0,True,45.0,grid_infrastructure_agent_6
0,,,2.0,61.0,grid_infrastructure_agent_6,1006.0,14.0,True,6.0,grid_infrastructure_agent_15
1,,,3.0,61.0,grid_infrastructure_agent_8,1008.0,26.0,True,88.0,grid_infrastructure_agent_15
0,,,4.0,61.0,grid_infrastructure_agent_6,1006.0,12.0,True,32.0,grid_infrastructure_agent_8
1,,,5.0,61.0,grid_infrastructure_agent_15,1015.0,20.0,True,88.0,grid_infrastructure_agent_8
