,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 21:55:17.379229,,,,,,,,,,,
1,Simulation configuration ID,3facd6de-d35b-46f2-bcdf-646b15f88218,,,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,29.0,household_agent_39,1057.0,151.0,True,4076.0,household_agent_40,160.0,124.0,255.0
1,,,1.0,29.0,household_agent_41,1059.0,149.0,True,17897.0,household_agent_40,59.0,114.0,69.0
