,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-21 21:19:10.583578,,,,,,,,,
1,Simulation configuration ID,9d0ac67f-58ff-41be-832e-c24b21a07ccb,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,grid_infrastructure_agent_14,0.0,74.0,grid_infrastructure_agent_13,148.0,0.0,63.0,148.0,137.0
1,,,grid_infrastructure_agent_13,1.0,74.0,grid_infrastructure_agent_14,123.0,0.0,61.0,123.0,135.0
2,,,grid_infrastructure_agent_13,101300.0,25369.0,grid_infrastructure_agent_14,148.0,137.0,63.0,148.0,25432.0
3,,,grid_infrastructure_agent_14,101400.0,7006.0,grid_infrastructure_agent_13,123.0,135.0,63.0,123.0,7069.0
