,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 13:08:10.908083,,,,,,,,,
1,Simulation configuration ID,4cacc080-b5c3-46e6-89a6-53540a0f71a5,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_70,0.0,74.0,household_agent_71,16.0,0.0,58.0,16.0,132.0
1,,,household_agent_70,4.0,298.0,household_agent_71,10.0,0.0,56.0,10.0,354.0
2,,,household_agent_72,1.0,92.0,household_agent_71,24.0,0.0,68.0,24.0,160.0
3,,,household_agent_72,5.0,299.0,household_agent_71,37.0,0.0,81.0,37.0,380.0
4,,,household_agent_71,2.0,30.0,household_agent_70,12.0,0.0,54.0,12.0,84.0
5,,,household_agent_71,3.0,23.0,household_agent_72,21.0,0.0,47.0,21.0,70.0
6,,,household_agent_71,6.0,293.0,household_agent_70,19.0,0.0,60.0,19.0,353.0
7,,,household_agent_71,7.0,226.0,household_agent_72,32.0,0.0,47.0,32.0,273.0
8,,,household_agent_70,108800.0,176.0,household_agent_71,12.0,84.0,65.0,12.0,241.0
9,,,household_agent_70,108801.0,431.0,household_agent_71,19.0,353.0,56.0,19.0,487.0
10,,,household_agent_71,108900.0,230.0,household_agent_70,16.0,132.0,56.0,16.0,286.0
11,,,household_agent_71,108901.0,167.0,household_agent_72,24.0,160.0,47.0,24.0,214.0
12,,,household_agent_71,108902.0,436.0,household_agent_70,10.0,354.0,54.0,10.0,490.0
13,,,household_agent_71,108903.0,475.0,household_agent_72,37.0,380.0,43.0,37.0,518.0
14,,,household_agent_72,109000.0,74.0,household_agent_71,21.0,70.0,60.0,21.0,134.0
15,,,household_agent_72,109001.0,276.0,household_agent_71,32.0,273.0,70.0,32.0,346.0
