,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 14:58:53.768774,,,,,,,,,
1,Simulation configuration ID,43d011f6-7858-41f2-ab4d-f60a64fbf926,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_43,0.0,155.0,household_agent_44,171.0,0.0,47.0,171.0,202.0
1,,,household_agent_43,6.0,318.0,household_agent_44,182.0,0.0,49.0,182.0,367.0
2,,,household_agent_36,1.0,84.0,household_agent_37,66.0,0.0,47.0,66.0,131.0
3,,,household_agent_36,7.0,362.0,household_agent_37,54.0,0.0,47.0,54.0,409.0
4,,,household_agent_37,2.0,159.0,household_agent_36,51.0,0.0,81.0,51.0,240.0
5,,,household_agent_37,8.0,351.0,household_agent_36,72.0,0.0,50.0,72.0,401.0
6,,,household_agent_44,3.0,155.0,household_agent_43,102.0,0.0,47.0,102.0,202.0
7,,,household_agent_44,9.0,295.0,household_agent_43,171.0,0.0,81.0,171.0,376.0
8,,,household_agent_81,4.0,169.0,household_agent_82,86.0,0.0,66.0,86.0,235.0
9,,,household_agent_81,10.0,284.0,household_agent_82,153.0,0.0,47.0,153.0,331.0
10,,,household_agent_82,5.0,115.0,household_agent_81,84.0,0.0,47.0,84.0,162.0
11,,,household_agent_82,11.0,356.0,household_agent_81,199.0,0.0,47.0,199.0,403.0
12,,,household_agent_36,105400.0,244.0,household_agent_37,51.0,240.0,50.0,51.0,294.0
13,,,household_agent_36,105401.0,474.0,household_agent_37,72.0,401.0,47.0,72.0,521.0
14,,,household_agent_37,105500.0,134.0,household_agent_36,66.0,131.0,72.0,66.0,206.0
15,,,household_agent_37,105501.0,462.0,household_agent_36,54.0,409.0,51.0,54.0,513.0
16,,,household_agent_43,106100.0,207.0,household_agent_44,102.0,202.0,49.0,102.0,256.0
17,,,household_agent_43,106101.0,469.0,household_agent_44,171.0,376.0,53.0,171.0,522.0
18,,,household_agent_44,106200.0,290.0,household_agent_43,171.0,202.0,52.0,171.0,342.0
19,,,household_agent_44,106201.0,450.0,household_agent_43,182.0,367.0,47.0,182.0,497.0
20,,,household_agent_81,109900.0,188.0,household_agent_82,84.0,162.0,81.0,84.0,269.0
21,,,household_agent_81,109901.0,465.0,household_agent_82,199.0,403.0,47.0,199.0,512.0
22,,,household_agent_82,110000.0,249.0,household_agent_81,86.0,235.0,47.0,86.0,296.0
23,,,household_agent_82,110001.0,404.0,household_agent_81,153.0,331.0,47.0,153.0,451.0
